section,descriçao,Tipo,valor,quartos,banheiros,metros_quadrados,vagas_carro,cidade,bairro,data de postagem
1,Casa Nova Eusébio,casa,489.000,3,3,122,,Fortaleza, Centro,26-08-2024  17:54
2,"10 CASAS todas ALUGADAS! EXCELENTE RETORNO, no Parque Presidente Vargas!",casa,29.000,,,,,Fortaleza, Parque Presidente Vargas,26-08-2024  17:39
3,Vendo ou repasso 240.000,casa,240.000,3,2,8,1,Fortaleza, Siqueira,26-08-2024  17:04
4,Vendo linda casa de praia! Escriturada!,casa,165.000,2,2,88,1,Beberibe,,26-08-2024  16:03
5,"Casa com 3 dormitórios à venda, 94 m² por R$ 389.000 - Maporanga - Fortaleza/CE",casa,389.000,3,4,94,,Fortaleza, Mondubim,26-08-2024  19:20
6,"Casa com 4 dormitórios à venda por R$ 1.300.000,00 - Cumbuco - Caucaia/CE",casa,1.400.000,4,5,1435,,Caucaia, Cumbuco,26-08-2024  19:20
7,Casa plana com 3 suites 4 vagas no Cond Jardins de Murano,casa,1.150.011,4,4,185,,Eusébio,,26-08-2024  19:11
8,"Duplex em uma localização privilegiada, próximo ao colégio Ágape, no Eusébio",casa,739.900,3,3,132,,Eusébio,,26-08-2024  19:11
9,Excelente casa plana novinha no Ancuri com 2 quartos,casa,195.007,2,2,97,,Eusébio,,26-08-2024  19:11
10,Casa Excelente localização ?,casa,145.000,3,2,200,,Juazeiro do Norte, Centro,26-08-2024  19:06
11,Casa para vender,casa,,2,2,,,Fortaleza, Itaoca,26-08-2024  19:01
12,Vendo Casa Jardim Gonzaga,casa,380.000,3,2,180,,Juazeiro do Norte, Frei Damião,26-08-2024  18:48
13,Imóvel para venda possui 300 metros quadrados com 4 quartos em Coité - Eusébio - CE,casa,1.200.000,4,4,300,,Eusébio, Coité,26-08-2024  18:37
14,Vendo duplex ou troco,casa,70,5,1,,,Caucaia, Parque Potira (Jurema),26-08-2024  18:18
15,"Uma excelente casa, sonhe, planeje, e faça",casa,420.013,3,3,101,,Eusébio,,26-08-2024  18:11
16,Casa duplex em condominio na Messejana com 2 quartos e energia solar,casa,250.025,2,2,69,1,Fortaleza, Jangurussu,26-08-2024  18:11
17,Sua Casa de Luxo pé na areia no Porto das Dunas,casa,2.795.885,4,4,251,,Eusébio,,26-08-2024  18:11
18,Imóvel para venda com 260 metros quadrados com 4 quartos em Cidade Alpha - Eusébio - CE,casa,1.990.000,4,2,260,,Eusébio,,26-08-2024  18:10
19,Imóvel para venda possui 276 metros quadrados com 4 quartos,casa,740.000,4,4,276,,Fortaleza, Engenheiro Luciano Cavalcante,26-08-2024  18:10
20,Linda casa a venda no melhor do Eusebio,casa,320.000,3,3,88,,Eusébio,,26-08-2024  18:05
21,LINDA CASA DUPLEX DE CONDOMINIO À VENDA NA SAPIRANGA,casa,680.000,4,5,155,,Fortaleza, Sapiranga-Coité,26-08-2024  18:04
22,Repasse na região do parque Don Pedro,casa,38.000,2,2,80,1,Itaitinga,,26-08-2024  18:03
23,Casa na Sapiranga,casa,670.000,4,5,180,,Fortaleza, Sapiranga-Coité,26-08-2024  18:00
24,Casa,casa,180.000,,,,,Fortaleza, Moura Brasil,26-08-2024  17:38
25,Vende-se está casa valor negociável rua por sol,casa,85.000.000,3,1,,,Fortaleza, Barra do Ceará,26-08-2024  17:38
26,Excelente casa ampla com vista para o mar e 5 suítes.,casa,570.000,5,5,252,,Aquiraz,,26-08-2024  17:36
27,Casas planas com pele de vidro na Mangabeira,casa,339.998,3,2,82,,Eusébio,,26-08-2024  17:31
28,Casa para Vender,casa,90.000,,,,,Fortaleza, Lagoa Redonda,26-08-2024  17:29
29,Casa em Benfica - Fortaleza/CE,casa,321.400,4,4,342,,Fortaleza, Benfica,26-08-2024  17:28
30,Bairro Dunas Casa em condomínio de alto padrão,casa,3.850.000,4,5,370,,Fortaleza, De Lourdes,26-08-2024  17:28
31,Casa 02 quartos em itaitinga,casa,,2,2,,,Itaitinga,,26-08-2024  17:25
32,Vende-se casa,casa,150.000,,,,,Fortaleza, Barra do Ceará,26-08-2024  17:25
33,Vende ou aluga,casa,80.000.000,2,2,102,1,Caucaia, Itambé,26-08-2024  17:18
34,Imóvel para venda possui 90 metros quadrados com 2 quartos em Barrocão - Itaitinga - CE,casa,32.000,2,2,90,,Itaitinga,,26-08-2024  16:59
35,"Excelentes Casas Na Monguba, 02 Quartos, Proximo Da Ce 060; Doc. Gratis! Cód. 1UTKFK",casa,195.000,2,2,91,,Pacatuba, Pavuna,26-08-2024  16:58
36,Imóvel para venda possui 90 metros quadrados com 2 quartos em Barrocão - Itaitinga - CE,casa,185.000,2,2,90,,Itaitinga,,26-08-2024  16:52
37,Imóvel para venda possui 90 metros quadrados com 2 quartos em Barrocão - Itaitinga - CE,casa,170.000,2,2,90,,Itaitinga,,26-08-2024  16:50
38,"Linda Casa Com 3 Quartos No Jereissate 3, Dentro Do Loteamento Mãe Rainha 3! Cód. 1M3IBGC",casa,279.000,3,2,72,,Pacatuba, Senador Carlos Jereissati,26-08-2024  16:49
39,"Eusebio, Lindos Duplex Com 3 Quartos Viz. Ao Quintas Do Lago; 100M Da Ce 010! Cód. 1L3JKFK",casa,530.000,3,3,122,,Eusébio, Coaçu,26-08-2024  16:49
40,"Casa Plana De 3 Quartos No Mucunã Em Maracanaú, 300 Metros Da Ce 065! Cód. 8CLKFK",casa,220.000,3,2,86,,Maracanaú, Mucunã,26-08-2024  16:48
41,Moradas Da Serra; Casas Em Condominio Fechado No Jereissate 3! Cód. 1TM1KFK,casa,195.000,2,1,45,1,Pacatuba, Senador Carlos Jereissati,26-08-2024  16:46
42,Casa duplex de alto padrão com 4 suites no Jardim das Oliveiras,casa,820.000,4,4,152,,Eusébio,,26-08-2024  16:45
43,Casa duplex em excelente condomínio no Eusébio,casa,1.150.115,3,3,195,,Eusébio,,26-08-2024  16:44
44,"Casas C/ 02 Quartos Na Monguba Em Pacatuba, Excelente Acabamento! Cód. 1PFCBGC",casa,195.000,2,2,85,,Pacatuba, Monguba,26-08-2024  16:41
45,Mansões Do Lago Condominium; Casas Em Condominio Fechado Em Maracanaú! Cód. AAPKFK,casa,290.000,3,2,89,,Maracanaú, Jaçanaú,26-08-2024  16:41
46,"Casas No Luzardo Viana Em Maracanaú, Arquitetura Moderna, 100% Porcelanato Acabamento Fino",casa,325.000,3,2,89,,Maracanaú, Luzardo Viana,26-08-2024  16:41
47,"Lindas Casas Em Maranguape, 2 Quartos Pronta Para Morar! Cód. 1NRABGC",casa,195.000,2,2,75,,Sapupara, Sapupara,26-08-2024  16:36
48,Imóvel para venda tem 90 metros quadrados com 2 quartos em Barrocão - Itaitinga - CE,casa,180.000,2,2,90,,Itaitinga,,26-08-2024  16:36
49,"Casas Duplex De Altissimo Padrão No Luzardo Viana, 100% Porcelanato Acabamento Fino! Cód.",casa,460.000,3,3,131,,Maracanaú, Luzardo Viana,26-08-2024  16:33
50,"Eusebio, Casas Plana C/ 3 Quartos; Acabamento Fino, Excelente Localização! Cód. BH2BGC",casa,450.000,3,3,100,,Eusébio, Coité,26-08-2024  16:33
51,"Eusebio, Casas Com 3 Quartos Em Rua Privativa, Acabamento Fino! Cód. 1K1VKFK",casa,359.000,3,2,93,,Eusébio, Urucunema,26-08-2024  16:32
1,Casa duplex com varanda,casa,450.000,4,5,174,,Fortaleza, Montese,26-08-2024  15:25
2,Vende-se casa plana alta em Eusébio,casa,380.000,3,2,100,,Eusébio, Guaribas,26-08-2024  13:52
3,"Vendo. Aceito imovel, terreno e veículo na negociação",casa,220.000,2,2,69,,Fortaleza, Pedras,26-08-2024  11:36
4,Vendo Casa Mansão no Beach Park 4 Suítes Piscina Poço Vista Sensacional,casa,799.990,4,5,270,,Aquiraz,,26-08-2024  10:29
5,Mansão de luxo mobiliada e com 4 suítes- Edson Queiroz,casa,1.800.000,4,5,500,,Fortaleza, Edson Queiroz,26-08-2024  16:30
6,Casa duplex com 4 suítes no Porto das Dunas,casa,1.350.000,4,4,272,,Aquiraz,,26-08-2024  16:30
7,Ampla casa com 4 suítes em condomínio no Eusébio!,casa,1.200.000,4,5,350,,Eusébio, Centro,26-08-2024  16:30
8,Chalé duplex seminovo e mobiliado em Aracati,casa,1.500.000,3,4,2457,,Aracati,,26-08-2024  16:30
9,Excelente Duplex Em Condominio Fechado Na Monguba! Cód. 16LABGC,casa,175.000,2,2,77,1,Pacatuba, Pavuna,26-08-2024  16:29
10,"Maraponga, Casas De Alto Padrão; 800M Do Carajas Home Center, Acabamento Fino! Cód. QJTKFK",casa,389.900,3,4,94,,Fortaleza, Mondubim,26-08-2024  16:27
11,Ampla casa no Alphaville Eusébio com 6 suítes,casa,2.000.000,5,5,352,,Eusébio,,26-08-2024  16:26
12,Casa luxuosa de alto padrão no Alphaville Fortaleza.,casa,9.500.000,4,5,815,,Fortaleza, José de Alencar,26-08-2024  16:26
13,Casa moderna com 3 suítes em condomínio Jardins Ibiza,casa,2.650.000,3,5,325,,Eusébio,,26-08-2024  16:26
14,Linda casa com 3 suítes na Cidade Alpha,casa,1.250.000,3,4,169,,Eusébio,,26-08-2024  16:23
15,Ampla casa mobiliada e com 7 quartos em Aquiraz,casa,1.150.000,5,5,400,,Aquiraz,,26-08-2024  16:23
16,Linda casa moderna com 3 suítes em Fortim-Ce,casa,3.949.706,3,5,256,,Fortim,,26-08-2024  16:23
17,"Ocean Garden Cumbuco - Casa de alto padrão, pé na areia com 3 suítes.",casa,1.254.324,3,4,105,,Caucaia, Cumbuco,26-08-2024  16:23
18,Excelente casa com 4 suítes no Parque Manibura.,casa,1.000.000,4,5,266,,Fortaleza, Parque Manibura,26-08-2024  16:23
19,Casa mobiliada com 5 suítes e piscina privativa.,casa,3.500.000,5,5,372,,Aquiraz,,26-08-2024  16:23
20,Casa dúplex com 3 suítes e vista mar no Porto das Dunas.,casa,580.000,3,3,127,,Aquiraz,,26-08-2024  16:22
21,Casa com piscina privativa e 2 suítes em Aquiraz.,casa,590.000,2,3,95,,Aquiraz,,26-08-2024  16:22
22,Ampla casa com 6 suítes e vista mar em Taíba,casa,6.500.000,5,5,12100,,São Gonçalo do Amarante,,26-08-2024  16:22
23,Mansão em Beberibe com linda vista mar e lazer completo!,casa,1.300.000,5,5,227,,Beberibe,,26-08-2024  16:22
24,Excelente casa com piscina privativa e 4 dormitórios no Porto das Dunas,casa,800.000,4,4,467,,Aquiraz,,26-08-2024  16:21
25,"Casa duplex com vista mar, nascente e mobiliada no Porto das Dunas.",casa,480.000,3,3,101,1,Aquiraz,,26-08-2024  16:21
26,Casa de alto padrão com 5 suítes no Eusébio com lazer completo.,casa,3.200.000,5,5,341,,Eusébio,,26-08-2024  16:20
27,"Belíssima casa mobiliada, nascente total com 4 suítes no Porto das Dunas.",casa,900.000,4,5,260,,Aquiraz,,26-08-2024  16:20
28,Casa ampla com 4 quartos e piscina privativa - Porto das Dunas,casa,480.000,4,3,280,,Aquiraz,,26-08-2024  16:20
29,Casa duplex e nascente com 4 suítes e varanda gourmet.,casa,820.000,4,4,152,,Fortaleza, Jardim das Oliveiras,26-08-2024  16:20
30,Casa plana com 3 suítes em condomínio no Eusébio.,casa,520.000,3,3,110,,Eusébio,,26-08-2024  16:20
31,Casa duplex de alto padrão com 4 suítes em Eusébio.,casa,810.000,4,4,154,,Eusébio,,26-08-2024  16:19
32,Ampla casa duplex com 4 quartos em Eusébio.,casa,550.000,4,3,126,,Eusébio,,26-08-2024  16:19
33,Belíssima casa com 4 suítes e piscina privativa em Eusébio.,casa,759.900,4,4,144,,Eusébio,,26-08-2024  16:19
34,"Linda casa nascente, com 4 suítes e piscina privativa na Cidade Alpha.",casa,1.980.000,4,5,300,,Eusébio,,26-08-2024  16:19
35,"Casa Plana, Parque Rio Branco, 7,50m X 21,50m, 3 Qtos, Esquina. Doc. Juridicamente Perfeit",casa,550.000,3,3,161,,Fortaleza, Presidente Kennedy,26-08-2024  16:19
36,Casa duplex com lazer completo no Porto das Dunas!,casa,399.000,2,2,74,,Aquiraz,,26-08-2024  16:19
37,Casa em rua privativa com 3 quartos em Eusébio.,casa,399.900,3,3,90,,Eusébio,,26-08-2024  16:18
38,Ampla casa nascente total em Eusébio.,casa,409.000,3,3,103,,Eusébio,,26-08-2024  16:18
39,Ampla casa com 3 suítes em excelente localização em Eusébio.,casa,440.000,3,3,115,,Fortaleza, Lagoa Redonda,26-08-2024  16:18
40,Linda casa duplex com 4 suítes em Eusébio.,casa,650.000,4,4,141,,Eusébio,,26-08-2024  16:18
41,Casa ampla com 4 suítes com excelente localização em Eusébio.,casa,649.000,4,4,140,,Eusébio,,26-08-2024  16:18
42,Linda casa com 3 suítes e acabamento moderno em Eusébio!,casa,530.000,3,3,104,,Eusébio,,26-08-2024  16:18
43,Casa duplex de alto padrão com 4 suítes em Eusébio!,casa,925.000,4,5,154,,Eusébio,,26-08-2024  16:18
44,Casa duplex com lazer completo no Porto das Dunas,casa,399.000,2,2,74,,Aquiraz,,26-08-2024  16:18
